Vivado Simulator 2019.2
Time resolution is 1 ps
                   0  reset=x in0=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx in1=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx op=xxxxxxxxxxx cut=x out=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx overflow=x zero=x carryout=x parity=x signal=x
                  10  reset=1 in0=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx in1=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx op=xxxxxxxxxxx cut=x out=00000000000000000000000000000000 overflow=0 zero=0 carryout=0 parity=0 signal=0
                  20  reset=0 in0=00000000000000000000000000000011 in1=00000000000000000000000000000010 op=00000100000 cut=1 out=00000000000000000000000000000101 overflow=0 zero=0 carryout=0 parity=1 signal=0
                  40  reset=0 in0=00000000000000000000000000000011 in1=00000000000000000000000000000010 op=00000100001 cut=1 out=00000000000000000000000000000001 overflow=0 zero=0 carryout=0 parity=0 signal=0
                  60  reset=0 in0=00000000000000000000000000000011 in1=00000000000000000000000000000010 op=00000100010 cut=1 out=00000000000000000000000000000010 overflow=0 zero=0 carryout=0 parity=0 signal=0
                  80  reset=0 in0=00000000000000000000000000000011 in1=00000000000000000000000000000010 op=00000100011 cut=1 out=00000000000000000000000000000011 overflow=0 zero=0 carryout=0 parity=1 signal=0
                 100  reset=0 in0=00000000000000000000000000000011 in1=00000000000000000000000000000010 op=00000100100 cut=1 out=00000000000000000000000000000001 overflow=0 zero=0 carryout=0 parity=0 signal=0
                 120  reset=0 in0=00000000000000000000000000000011 in1=00000000000000000000000000000010 op=00000100101 cut=1 out=11111111111111111111111111111100 overflow=1 zero=0 carryout=0 parity=1 signal=1
                 140  reset=0 in0=00000000000000000000000000000011 in1=00000000000000000000000000000010 op=00000100110 cut=1 out=00000000000000000000000000000000 overflow=0 zero=1 carryout=0 parity=1 signal=0
                 160  reset=0 in0=00000000000000000000000000000011 in1=00000000000000000000000000000010 op=00000100111 cut=1 out=00000000000000000000000000000001 overflow=0 zero=0 carryout=0 parity=0 signal=0
                 180  reset=0 in0=00000000000000000000000000000011 in1=00000000000000000000000000000010 op=00000000000 cut=1 out=00000000000000000000000000001100 overflow=0 zero=0 carryout=0 parity=1 signal=0
                 200  reset=0 in0=00000000000000000000000000000011 in1=00000000000000000000000000000010 op=00000000010 cut=1 out=00000000000000000000000000000001 overflow=0 zero=0 carryout=0 parity=0 signal=0
                 220  reset=0 in0=00000000000000000000000000000011 in1=00000000000000000000000000000010 op=00000000011 cut=1 out=00000000000000000000000000000000 overflow=0 zero=1 carryout=0 parity=1 signal=0
                 230  reset=1 in0=00000000000000000000000000000011 in1=00000000000000000000000000000010 op=00000000011 cut=1 out=00000000000000000000000000000000 overflow=0 zero=0 carryout=0 parity=0 signal=0
                 240  reset=0 in0=11111111111111111111111111111111 in1=00000000000000000000000000000010 op=00000100000 cut=0 out=00000000000000000000000000000001 overflow=0 zero=0 carryout=1 parity=0 signal=0
                 260  reset=0 in0=11111111111111111111111111111111 in1=00000000000000000000000000000010 op=00000100001 cut=0 out=11111111111111111111111111111101 overflow=0 zero=0 carryout=0 parity=0 signal=1
                 280  reset=0 in0=11111111111111111111111111111111 in1=00000000000000000000000000000010 op=00000100010 cut=0 out=00000000000000000000000000000010 overflow=1 zero=0 carryout=0 parity=0 signal=0
                 300  reset=0 in0=11111111111111111111111111111111 in1=00000000000000000000000000000010 op=00000100011 cut=0 out=11111111111111111111111111111111 overflow=0 zero=0 carryout=0 parity=1 signal=1
                 320  reset=0 in0=11111111111111111111111111111111 in1=00000000000000000000000000000010 op=00000100100 cut=0 out=11111111111111111111111111111101 overflow=0 zero=0 carryout=0 parity=0 signal=1
                 340  reset=0 in0=11111111111111111111111111111111 in1=00000000000000000000000000000010 op=00000100101 cut=0 out=00000000000000000000000000000000 overflow=1 zero=1 carryout=0 parity=1 signal=0
                 360  reset=0 in0=11111111111111111111111111111111 in1=00000000000000000000000000000010 op=00000100110 cut=0 out=00000000000000000000000000000000 overflow=1 zero=1 carryout=0 parity=1 signal=0
                 380  reset=0 in0=11111111111111111111111111111111 in1=00000000000000000000000000000010 op=00000100111 cut=0 out=00000000000000000000000000000000 overflow=1 zero=1 carryout=0 parity=1 signal=0
                 400  reset=0 in0=11111111111111111111111111111111 in1=00000000000000000000000000000010 op=00000000000 cut=0 out=11111111111111111111111111111100 overflow=0 zero=0 carryout=0 parity=1 signal=1
                 420  reset=0 in0=11111111111111111111111111111111 in1=00000000000000000000000000000010 op=00000000010 cut=0 out=00111111111111111111111111111111 overflow=1 zero=0 carryout=0 parity=1 signal=0
                 440  reset=0 in0=11111111111111111111111111111111 in1=00000000000000000000000000000010 op=00000000011 cut=0 out=00111111111111111111111111111111 overflow=1 zero=0 carryout=0 parity=1 signal=0
$finish called at time : 540 ns : File "F:/vivadoProject/project_1/project_1.srcs/sim_1/new/mine1.v" Line 62
