Vivado Simulator 2019.2
Time resolution is 1 ps
                   0  reset=x in_one=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx in_two=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx operator=xxxxxxxxxxx rounding=x out=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx of=x zf=x cf=x pf=x sf=x
                  10  reset=1 in_one=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx in_two=xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx operator=xxxxxxxxxxx rounding=x out=00000000000000000000000000000000 of=0 zf=0 cf=0 pf=0 sf=0
                  20  reset=0 in_one=00000000000000000000000000000011 in_two=00000000000000000000000000000010 operator=00000100000 rounding=1 out=00000000000000000000000000000101 of=0 zf=0 cf=0 pf=1 sf=0
                  40  reset=0 in_one=00000000000000000000000000000011 in_two=00000000000000000000000000000010 operator=00000100001 rounding=1 out=00000000000000000000000000000001 of=0 zf=0 cf=0 pf=0 sf=0
                  60  reset=0 in_one=00000000000000000000000000000011 in_two=00000000000000000000000000000010 operator=00000100010 rounding=1 out=00000000000000000000000000000010 of=0 zf=0 cf=0 pf=0 sf=0
                  80  reset=0 in_one=00000000000000000000000000000011 in_two=00000000000000000000000000000010 operator=00000100011 rounding=1 out=00000000000000000000000000000011 of=0 zf=0 cf=0 pf=1 sf=0
                 100  reset=0 in_one=00000000000000000000000000000011 in_two=00000000000000000000000000000010 operator=00000100100 rounding=1 out=00000000000000000000000000000001 of=0 zf=0 cf=0 pf=0 sf=0
                 120  reset=0 in_one=00000000000000000000000000000011 in_two=00000000000000000000000000000010 operator=00000100101 rounding=1 out=11111111111111111111111111111100 of=1 zf=0 cf=0 pf=1 sf=1
                 140  reset=0 in_one=00000000000000000000000000000011 in_two=00000000000000000000000000000010 operator=00000100110 rounding=1 out=00000000000000000000000000000000 of=0 zf=1 cf=0 pf=1 sf=0
                 160  reset=0 in_one=00000000000000000000000000000011 in_two=00000000000000000000000000000010 operator=00000100111 rounding=1 out=00000000000000000000000000000001 of=0 zf=0 cf=0 pf=0 sf=0
                 180  reset=0 in_one=00000000000000000000000000000011 in_two=00000000000000000000000000000010 operator=00000000000 rounding=1 out=00000000000000000000000000001100 of=0 zf=0 cf=0 pf=1 sf=0
                 200  reset=0 in_one=00000000000000000000000000000011 in_two=00000000000000000000000000000010 operator=00000000010 rounding=1 out=00000000000000000000000000000001 of=0 zf=0 cf=0 pf=0 sf=0
                 220  reset=0 in_one=00000000000000000000000000000011 in_two=00000000000000000000000000000010 operator=00000000011 rounding=1 out=00000000000000000000000000000000 of=0 zf=1 cf=0 pf=1 sf=0
                 230  reset=1 in_one=00000000000000000000000000000011 in_two=00000000000000000000000000000010 operator=00000000011 rounding=1 out=00000000000000000000000000000000 of=0 zf=0 cf=0 pf=0 sf=0
                 240  reset=0 in_one=11111111111111111111111111111111 in_two=00000000000000000000000000000010 operator=00000100000 rounding=0 out=00000000000000000000000000000001 of=0 zf=0 cf=1 pf=0 sf=0
                 260  reset=0 in_one=11111111111111111111111111111111 in_two=00000000000000000000000000000010 operator=00000100001 rounding=0 out=11111111111111111111111111111101 of=0 zf=0 cf=0 pf=0 sf=1
                 280  reset=0 in_one=11111111111111111111111111111111 in_two=00000000000000000000000000000010 operator=00000100010 rounding=0 out=00000000000000000000000000000010 of=1 zf=0 cf=0 pf=0 sf=0
                 300  reset=0 in_one=11111111111111111111111111111111 in_two=00000000000000000000000000000010 operator=00000100011 rounding=0 out=11111111111111111111111111111111 of=0 zf=0 cf=0 pf=1 sf=1
                 320  reset=0 in_one=11111111111111111111111111111111 in_two=00000000000000000000000000000010 operator=00000100100 rounding=0 out=11111111111111111111111111111101 of=0 zf=0 cf=0 pf=0 sf=1
                 340  reset=0 in_one=11111111111111111111111111111111 in_two=00000000000000000000000000000010 operator=00000100101 rounding=0 out=00000000000000000000000000000000 of=1 zf=1 cf=0 pf=1 sf=0
                 360  reset=0 in_one=11111111111111111111111111111111 in_two=00000000000000000000000000000010 operator=00000100110 rounding=0 out=00000000000000000000000000000000 of=1 zf=1 cf=0 pf=1 sf=0
                 380  reset=0 in_one=11111111111111111111111111111111 in_two=00000000000000000000000000000010 operator=00000100111 rounding=0 out=00000000000000000000000000000000 of=1 zf=1 cf=0 pf=1 sf=0
                 400  reset=0 in_one=11111111111111111111111111111111 in_two=00000000000000000000000000000010 operator=00000000000 rounding=0 out=11111111111111111111111111111100 of=0 zf=0 cf=0 pf=1 sf=1
                 420  reset=0 in_one=11111111111111111111111111111111 in_two=00000000000000000000000000000010 operator=00000000010 rounding=0 out=00111111111111111111111111111111 of=1 zf=0 cf=0 pf=1 sf=0
                 440  reset=0 in_one=11111111111111111111111111111111 in_two=00000000000000000000000000000010 operator=00000000011 rounding=0 out=00111111111111111111111111111111 of=1 zf=0 cf=0 pf=1 sf=0
$finish called at time : 540 ns : File "E:/Vivado_Projects/project_1/project_1.srcs/sim_1/new/ALUsim.v" Line 92
