2024-04-07 18:00:48,109 - Receive: 1, pdu_exp=1, pdu_recv=1, status=DataErr
2024-04-07 18:00:48,110 - Receive: 2, pdu_exp=1, pdu_recv=2, status=NoErr
2024-04-07 18:00:48,111 - Receive: 3, pdu_exp=1, pdu_recv=3, status=DataErr
2024-04-07 18:00:48,112 - Receive: 4, pdu_exp=1, pdu_recv=4, status=NoErr
2024-04-07 18:00:48,113 - Receive: 5, pdu_exp=1, pdu_recv=1, status=OK
2024-04-07 18:00:48,114 - Receive: 6, pdu_exp=2, pdu_recv=2, status=OK
2024-04-07 18:00:48,115 - Receive: 7, pdu_exp=3, pdu_recv=3, status=OK
2024-04-07 18:00:48,116 - Receive: 8, pdu_exp=4, pdu_recv=4, status=OK
2024-04-07 18:00:48,118 - Receive: 9, pdu_exp=5, pdu_recv=1, status=NoErr
2024-04-07 18:00:48,118 - Receive: 10, pdu_exp=5, pdu_recv=2, status=NoErr
2024-04-07 18:00:48,119 - Receive: 11, pdu_exp=5, pdu_recv=3, status=NoErr
2024-04-07 18:00:48,120 - Receive: 12, pdu_exp=5, pdu_recv=4, status=DataErr
2024-04-07 18:00:48,121 - Receive: 13, pdu_exp=5, pdu_recv=1, status=NoErr
2024-04-07 18:00:48,122 - Receive: 14, pdu_exp=5, pdu_recv=2, status=NoErr
2024-04-07 18:00:48,123 - Receive: 15, pdu_exp=5, pdu_recv=3, status=NoErr
2024-04-07 18:00:48,124 - Receive: 16, pdu_exp=5, pdu_recv=4, status=NoErr
2024-04-07 18:00:48,124 - Receive: 17, pdu_exp=5, pdu_recv=1, status=NoErr
2024-04-07 18:00:48,126 - Receive: 18, pdu_exp=5, pdu_recv=2, status=NoErr
2024-04-07 18:00:48,126 - Receive: 19, pdu_exp=5, pdu_recv=3, status=NoErr
2024-04-07 18:00:48,127 - Receive: 20, pdu_exp=5, pdu_recv=4, status=NoErr
2024-04-07 18:00:48,129 - Receive: 21, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:48,130 - Receive: 22, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:48,131 - Receive: 23, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:48,132 - Receive: 24, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:48,133 - Receive: 25, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:48,133 - Receive: 26, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:48,134 - Receive: 27, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:48,135 - Receive: 28, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:48,136 - Receive: 29, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:48,137 - Receive: 30, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:48,138 - Receive: 31, pdu_exp=5, pdu_recv=23, status=DataErr
2024-04-07 18:00:48,139 - Receive: 32, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:48,140 - Receive: 33, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:48,141 - Receive: 34, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:48,142 - Receive: 35, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:48,143 - Receive: 36, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:48,144 - Receive: 37, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:48,145 - Receive: 38, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:48,145 - Receive: 39, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:48,146 - Receive: 40, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:48,147 - Receive: 41, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:48,148 - Receive: 42, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:48,149 - Receive: 43, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:48,150 - Receive: 44, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:48,151 - Receive: 45, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:48,152 - Receive: 46, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:48,153 - Receive: 47, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:48,154 - Receive: 48, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:48,155 - Receive: 49, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:48,155 - Receive: 50, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:48,156 - Receive: 51, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:48,158 - Receive: 52, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:48,159 - Receive: 53, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:48,160 - Receive: 54, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:48,161 - Receive: 55, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:48,162 - Receive: 56, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:48,163 - Receive: 57, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:48,164 - Receive: 58, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:48,165 - Receive: 59, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:48,166 - Receive: 60, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:48,167 - Receive: 61, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:48,168 - Receive: 62, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:48,169 - Receive: 63, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:48,170 - Receive: 64, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:48,171 - Receive: 65, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:48,171 - Receive: 66, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,173 - Receive: 67, pdu_exp=5, pdu_recv=24, status=DataErr
2024-04-07 18:00:50,175 - Receive: 68, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:50,176 - Receive: 69, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,177 - Receive: 70, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:50,178 - Receive: 71, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:50,179 - Receive: 72, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:50,180 - Receive: 73, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,181 - Receive: 74, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:50,182 - Receive: 75, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:50,183 - Receive: 76, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:50,183 - Receive: 77, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,184 - Receive: 78, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:50,185 - Receive: 79, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:50,186 - Receive: 80, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:50,187 - Receive: 81, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,187 - Receive: 82, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:50,189 - Receive: 83, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:50,189 - Receive: 84, pdu_exp=5, pdu_recv=21, status=DataErr
2024-04-07 18:00:50,191 - Receive: 85, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,191 - Receive: 86, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:50,192 - Receive: 87, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:50,193 - Receive: 88, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:50,194 - Receive: 89, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,195 - Receive: 90, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:50,196 - Receive: 91, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:50,196 - Receive: 92, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:50,197 - Receive: 93, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,198 - Receive: 94, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:50,199 - Receive: 95, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:50,200 - Receive: 96, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:50,200 - Receive: 97, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,201 - Receive: 98, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:50,202 - Receive: 99, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:50,203 - Receive: 100, pdu_exp=5, pdu_recv=21, status=DataErr
2024-04-07 18:00:50,204 - Receive: 101, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,205 - Receive: 102, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:50,206 - Receive: 103, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:50,208 - Receive: 104, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:50,209 - Receive: 105, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,210 - Receive: 106, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:50,211 - Receive: 107, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:50,212 - Receive: 108, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:50,213 - Receive: 109, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,214 - Receive: 110, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:50,215 - Receive: 111, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:50,216 - Receive: 112, pdu_exp=5, pdu_recv=21, status=DataErr
2024-04-07 18:00:50,217 - Receive: 113, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,218 - Receive: 114, pdu_exp=5, pdu_recv=23, status=NoErr
2024-04-07 18:00:50,219 - Receive: 115, pdu_exp=5, pdu_recv=24, status=NoErr
2024-04-07 18:00:50,220 - Receive: 116, pdu_exp=5, pdu_recv=21, status=NoErr
2024-04-07 18:00:50,222 - Receive: 117, pdu_exp=5, pdu_recv=22, status=NoErr
2024-04-07 18:00:50,223 - Receive: 118, pdu_exp=5, pdu_recv=23, status=NoErr
