2024-04-07 18:00:48,108 - Send: 1, pdu_to_send=1, status=New, ackedNo=0
2024-04-07 18:00:48,109 - Send: 2, pdu_to_send=2, status=New, ackedNo=0
2024-04-07 18:00:48,110 - Send: 3, pdu_to_send=3, status=New, ackedNo=0
2024-04-07 18:00:48,110 - Send: 4, pdu_to_send=4, status=New, ackedNo=0
2024-04-07 18:00:48,111 - Send: 5, pdu_to_send=1, status=RT, ackedNo=0
2024-04-07 18:00:48,112 - Send: 6, pdu_to_send=2, status=RT, ackedNo=0
2024-04-07 18:00:48,112 - Send: 7, pdu_to_send=3, status=RT, ackedNo=0
2024-04-07 18:00:48,113 - Send: 8, pdu_to_send=4, status=RT, ackedNo=0
2024-04-07 18:00:48,114 - Send: 9, pdu_to_send=1, status=RT, ackedNo=0
2024-04-07 18:00:48,115 - Send: 10, pdu_to_send=2, status=RT, ackedNo=0
2024-04-07 18:00:48,117 - Send: 11, pdu_to_send=3, status=RT, ackedNo=0
2024-04-07 18:00:48,118 - Send: 12, pdu_to_send=4, status=RT, ackedNo=0
2024-04-07 18:00:48,118 - Send: 13, pdu_to_send=1, status=RT, ackedNo=0
2024-04-07 18:00:48,119 - Send: 14, pdu_to_send=2, status=RT, ackedNo=0
2024-04-07 18:00:48,119 - Send: 15, pdu_to_send=3, status=RT, ackedNo=0
2024-04-07 18:00:48,120 - Send: 16, pdu_to_send=4, status=RT, ackedNo=0
2024-04-07 18:00:48,120 - Send: 17, pdu_to_send=1, status=RT, ackedNo=0
2024-04-07 18:00:48,121 - Send: 18, pdu_to_send=2, status=RT, ackedNo=0
2024-04-07 18:00:48,121 - Send: 19, pdu_to_send=3, status=RT, ackedNo=0
2024-04-07 18:00:48,122 - Send: 20, pdu_to_send=4, status=RT, ackedNo=0
2024-04-07 18:00:48,124 - Send: 21, pdu_to_send=21, status=New, ackedNo=4
2024-04-07 18:00:48,124 - Send: 22, pdu_to_send=22, status=New, ackedNo=4
2024-04-07 18:00:48,125 - Send: 23, pdu_to_send=23, status=New, ackedNo=4
2024-04-07 18:00:48,126 - Send: 24, pdu_to_send=24, status=New, ackedNo=4
2024-04-07 18:00:48,127 - Send: 25, pdu_to_send=21, status=RT, ackedNo=4
2024-04-07 18:00:48,127 - Send: 26, pdu_to_send=22, status=RT, ackedNo=4
2024-04-07 18:00:48,128 - Send: 27, pdu_to_send=23, status=RT, ackedNo=4
2024-04-07 18:00:48,129 - Send: 28, pdu_to_send=24, status=RT, ackedNo=4
2024-04-07 18:00:48,129 - Send: 29, pdu_to_send=21, status=RT, ackedNo=4
2024-04-07 18:00:48,130 - Send: 30, pdu_to_send=22, status=RT, ackedNo=4
2024-04-07 18:00:48,131 - Send: 31, pdu_to_send=23, status=RT, ackedNo=4
2024-04-07 18:00:48,131 - Send: 32, pdu_to_send=24, status=RT, ackedNo=4
2024-04-07 18:00:48,132 - Send: 33, pdu_to_send=21, status=RT, ackedNo=4
2024-04-07 18:00:48,133 - Send: 34, pdu_to_send=22, status=RT, ackedNo=4
2024-04-07 18:00:48,133 - Send: 35, pdu_to_send=23, status=RT, ackedNo=4
2024-04-07 18:00:48,133 - Send: 36, pdu_to_send=24, status=RT, ackedNo=4
2024-04-07 18:00:48,134 - Send: 37, pdu_to_send=21, status=RT, ackedNo=4
2024-04-07 18:00:48,135 - Send: 38, pdu_to_send=22, status=RT, ackedNo=4
2024-04-07 18:00:48,135 - Send: 39, pdu_to_send=23, status=RT, ackedNo=4
2024-04-07 18:00:48,136 - Send: 40, pdu_to_send=24, status=RT, ackedNo=4
2024-04-07 18:00:48,136 - Send: 41, pdu_to_send=21, status=RT, ackedNo=4
2024-04-07 18:00:48,137 - Send: 42, pdu_to_send=22, status=RT, ackedNo=4
2024-04-07 18:00:48,137 - Send: 43, pdu_to_send=23, status=RT, ackedNo=4
2024-04-07 18:00:48,138 - Send: 44, pdu_to_send=24, status=RT, ackedNo=4
2024-04-07 18:00:48,138 - Send: 45, pdu_to_send=21, status=RT, ackedNo=4
2024-04-07 18:00:48,139 - Send: 46, pdu_to_send=22, status=RT, ackedNo=4
2024-04-07 18:00:48,140 - Send: 47, pdu_to_send=23, status=RT, ackedNo=4
2024-04-07 18:00:48,141 - Send: 48, pdu_to_send=24, status=RT, ackedNo=4
2024-04-07 18:00:48,142 - Send: 49, pdu_to_send=21, status=RT, ackedNo=4
2024-04-07 18:00:48,142 - Send: 50, pdu_to_send=22, status=RT, ackedNo=4
2024-04-07 18:00:48,143 - Send: 51, pdu_to_send=23, status=RT, ackedNo=4
2024-04-07 18:00:48,143 - Send: 52, pdu_to_send=24, status=RT, ackedNo=4
2024-04-07 18:00:48,144 - Send: 53, pdu_to_send=21, status=RT, ackedNo=4
2024-04-07 18:00:48,144 - Send: 54, pdu_to_send=22, status=RT, ackedNo=4
2024-04-07 18:00:48,145 - Send: 55, pdu_to_send=23, status=RT, ackedNo=4
2024-04-07 18:00:48,145 - Send: 56, pdu_to_send=24, status=RT, ackedNo=4
2024-04-07 18:00:48,146 - Send: 57, pdu_to_send=21, status=RT, ackedNo=4
2024-04-07 18:00:48,146 - Send: 58, pdu_to_send=22, status=RT, ackedNo=4
2024-04-07 18:00:48,147 - Send: 59, pdu_to_send=23, status=RT, ackedNo=4
2024-04-07 18:00:48,147 - Send: 60, pdu_to_send=24, status=RT, ackedNo=4
