 localhost-- [2024_6_25_12_11_21] "GET / HTTP/1.1" 200 5511 "Mozilla/5.0"
 localhost-- [2024_6_25_12_11_21] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/"
 localhost-- [2024_6_25_12_11_21] "GET /css/index.css HTTP/1.1" 200 1111 "Mozilla/5.0" "http://localhost:8888/"
 localhost-- [2024_6_25_12_11_22] "GET /css/img/background.jpg HTTP/1.1" 200 1533409 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2024_6_25_12_11_23] "GET /calculator.html HTTP/1.1" 200 1214 "Mozilla/5.0" "http://localhost:8888/"
 localhost-- [2024_6_25_12_11_23] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2024_6_25_12_11_23] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2024_6_25_12_11_23] "GET /css/img/background.jpg HTTP/1.1" 200 1533409 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2024_6_25_12_11_29] "POST /cgi-bin/calculator.py HTTP/1.1" 200 860 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2024_6_25_12_11_29] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/cgi-bin/calculator.py"
 localhost-- [2024_6_25_12_11_29] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/cgi-bin/calculator.py"
 localhost-- [2024_6_25_12_11_30] "GET /css/img/background.jpg HTTP/1.1" 200 1533409 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2024_6_25_12_11_31] "GET /calculator.html HTTP/1.1" 200 1214 "Mozilla/5.0" "http://localhost:8888/cgi-bin/calculator.py"
 localhost-- [2024_6_25_12_11_31] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2024_6_25_12_11_31] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2024_6_25_12_11_31] "GET /css/img/background.jpg HTTP/1.1" 200 1533409 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2024_6_25_12_12_48] "GET /index.html HTTP/1.1" 200 5511 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2024_6_25_12_12_48] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2024_6_25_12_12_48] "GET /css/index.css HTTP/1.1" 200 1111 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2024_6_25_12_12_48] "GET /css/img/background.jpg HTTP/1.1" 200 1533409 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2024_6_25_12_12_50] "GET /dataQuery.html HTTP/1.1" 200 911 "Mozilla/5.0" "http://localhost:8888/index.html"
 localhost-- [2024_6_25_12_12_50] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2024_6_25_12_12_50] "GET /css/query.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2024_6_25_12_12_50] "GET /css/img/background.jpg HTTP/1.1" 200 1533409 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2024_6_25_12_12_53] "POST /cgi-bin/query.py HTTP/1.1" 200 1403 "Mozilla/5.0" "http://localhost:8888/dataQuery.html"
 localhost-- [2024_6_25_12_12_54] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/cgi-bin/query.py"
 localhost-- [2024_6_25_12_12_54] "GET /css/query.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/cgi-bin/query.py"
 localhost-- [2024_6_25_12_12_54] "GET /css/img/background.jpg HTTP/1.1" 200 1533409 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2024_6_25_12_13_43] "GET / HTTP/1.1" 200 5511 "Mozilla/5.0"
 localhost-- [2024_6_25_12_13_43] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/"
 localhost-- [2024_6_25_12_13_43] "GET /css/index.css HTTP/1.1" 200 1111 "Mozilla/5.0" "http://localhost:8888/"
 localhost-- [2024_6_25_12_13_43] "GET /css/img/background.jpg HTTP/1.1" 200 1533409 "Mozilla/5.0" "http://localhost:8888/css/style.css"
 localhost-- [2024_6_25_12_13_45] "GET /calculator.html HTTP/1.1" 200 1214 "Mozilla/5.0" "http://localhost:8888/"
 localhost-- [2024_6_25_12_13_45] "GET /css/style.css HTTP/1.1" 200 1277 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2024_6_25_12_13_45] "GET /css/cal.css HTTP/1.1" 200 572 "Mozilla/5.0" "http://localhost:8888/calculator.html"
 localhost-- [2024_6_25_12_13_45] "GET /css/img/background.jpg HTTP/1.1" 200 1533409 "Mozilla/5.0" "http://localhost:8888/css/style.css"
